County,State,2010 Census,Population Estimate 2017
Haakon County, South Dakota,1937,1943
Hamlin County, South Dakota,5903,5948
Hand County, South Dakota,3431,3277
Hanson County, South Dakota,3331,3423
Harding County, South Dakota,1255,1242
Hughes County, South Dakota,17022,17666
Hutchinson County, South Dakota,7343,7358
Hyde County, South Dakota,1420,1318
Jackson County, South Dakota,3031,3289
Jerauld County, South Dakota,2071,2028
Jones County, South Dakota,1006,936
Kingsbury County, South Dakota,5148,4952
Lake County, South Dakota,11200,12809
Lawrence County, South Dakota,24097,25429
Lincoln County, South Dakota,44828,56664
Lyman County, South Dakota,3755,3904
McCook County, South Dakota,5618,5499
McPherson County, South Dakota,2459,2426
Marshall County, South Dakota,4656,4804
Meade County, South Dakota,25434,28018
Mellette County, South Dakota,2048,2088
Miner County, South Dakota,2389,2228
Minnehaha County, South Dakota,169468,188616
Moody County, South Dakota,6486,6579
Oglala Lakota County, South Dakota,13586,14354
Pennington County, South dakota,100948,110141
Perkins County, South Dakota,2982,2974
Potter County, South Dakota,2329,2231
Roberts County, South Dakota,10149,10278
Sanborn County, South Dakota,2355,2450
Spink County, South Dakota,6415,6410
Stanley County, South Dakota,2966,3011
Sully County, South Dakota,1373,1407
Todd County, South dakota,9612,10065
Tripp County, South Dakota,5644,5460
Turner County, South Dakota,8347,8315
Union County, South Dakota,14399,15029
Walworth County, South Dakota,5438,5543
Yankton County, South Dakota,22438,22662
Ziebach County, South Dakota,2801,2756
Anderson County, Tennessee,75129,76257
Bedford County, Tennessee,45058,48117
Benton County, Tennessee,16489,15986
Bledsoe County, Tennessee,12876,14717
Blount County, Tennessee,123010,129929
Bradley County, Tennessee,98963,105560
Campbell County, Tennessee,40716,39648
Cannon County, Tennessee,13801,14216
Carroll County, Tennessee,28522,27860
Carter County, Tennessee,57424,56488
Cheatham County, Tennessee,39105,40330
Chester County, Tennessee,17131,17119
Claiborne County, Tennessee,32213,31609
Clay County, Tennessee,7861,7703
Cocke County, Tennessee,35662,35556
Coffee County, Tennessee,52796,55034
Crockett County, Tennessee,14586,14473
Cumberland County, Tennessee,56053,59078
Davidson County, Tennessee,626681,691243
Decatur County, Tennessee,11757,11751
DeKalb County, Tennessee,18723,19852
Dickson County, Tenessee,49666,52853
Dyer County, Tennessee,38335,37463
Fayette County, Tennessee,38413,40036
Fentress County, Tennessee,17959,18136
Franklin County, Tennessee,41052,41652
Gibson County, Tennessee,49683,49111
Giles County, Tennessee,29485,29401
Grainger County, Tennessee,22657,23144
Greene County, Tennessee,68831,68808
Grundy County, Tennessee,13703,13361
Hamblen County, Tennessee,62544,64277
Hamilton County, Tennessee,336463,361613
Hancock County, Tennessee,6819,6600
Hardeman County, Tennessee,27253,25447
Hardin County, Tennessee,26026,25846
Hawkins County, Tennessee,56833,56459
Haywood County, Tennessee,18787,17573
Henderson County, Tennessee,27769,27751
Henry County, Tennessee,32330,32450
Hickman County, Tennessee,24690,24864
Houston County, Tennessee,8426,8213
Humphreys County, Tennessee,18538,18484
Jackson County, Tennessee,11638,11677
Jefferson County, Tennessee,51407,53804
Johnson County, Tenessee,18244,17691
Knox County, Tennessee,432226,461860
Lake County, Tennessee,7832,7468
Lauderdale County, Tennessee,27815,25274
Lawrence County, Tennessee,41869,43396
Lewis County, Tennessee,12161,12035
Lincoln County, Tennessee,33361,33751
Loudon County, Tennessee,48556,52152
McMinn County, Tennessee,52266,52877
McNairy County, Tennessee,26075,26004
Macon County, Tennessee,22248,24079
Madison County, Tennessee,98294,97643
Marion County, Tennessee,28237,28425
Marshall County, Tennessee,30617,32931
Maury County, Tennessee,80956,92163
Meigs County, Tennessee,11753,12068
Monroe County, Tennessee,44519,46240
Montgomery County, Tennessee,172331,200182
Moore County, Tennessee,6362,6384
Morgan County, Tennessee,21987,21636
Obion County, Tennessee,31807,30385
Overton County, Tennessee,22083,22012
Perry County, Tennessee,7915,7975
Pickett County, Tennessee,5077,5073
Polk County, Tennessee,16825,16757
Putnam County, Tennessee,72321,77674
Rhea County, Tennessee,31809,32691
Roane County, Tennessee,54181,53036
Robertson County, Tennessee,66283,70177
Rutherford County, Tennessee,262604,317157
Scott County, Tennessee,22228,21989
Sequatchie County, Tennessee,14112,14736
Sevier County, Tennessee,89889,97638
Shelby County, Tennessee,927644,936961
Smith County, Tennessee,19166,19636
Stewart County, Tennessee,13324,13355
Sullivan County, Tennessee,156823,157158
Sumner County, Tennessee,160645,183545
Tipton County, Tennessee,61081,61366
Trousdale County, Tennessee,7870,10083
Unicoi County, Tennessee,18313,17759
Union County, Tennessee,19109,19442
Van Buren County, Tennessee,5548,5742
Warren County, Tennessee,39839,40651
Washington County, Tennessee,122979,127806
Wayne County, Tennessee,17021,16583
Weakley County, Tennessee,35021,33337
White County, Tennessee,25841,26753
Williamson County, Tennessee,183182,226257
Wilson County, Tennessee,113993,136442
Anderson County, Texas,58458,57741
Andrews County, Texas,14786,17722
Angelina County, Texas,86771,87805
Aransas County, Texas,23158,25572
Archer County, Texas,9054,8809
Armstrong County, Texas,1901,1879
Atascosa County, Texas,44911,48981
Austin County, Texas,28417,29786
Bailey County, Texas,7165,7077
Bandera County, Texas,20485,22351
Bastrop County, Texas,74171,84761
Baylor County, Texas,3726,3581
Bee County, Texas,31861,32563
Bell County, Texas,310235,347833
Bexar County, Texas,1714773,1958578
Blanco County, Texas,10497,11626
Borden County, Texas,641,673
Bosque County, Texas,18212,18326
Bowie County, Texas,92565,94012
Brazoria County, Texas,313166,362457
Brazos County, Texas,194851,222830
Brewster County, Texas,9232,9337
Briscoe County, Texas,1637,1528
Brooks County, Texas,7223,7235
Brown County, Texas,38106,38053
Burleson County, Texas,17187,18011
Burnet County, Texas,42750,46804
Caldwell County, Texas,38066,42338
Calhoun County, Texas,21381,21744
Callahan County, Texas,13544,13946
Cameron County, Texas,406220,423725
Camp County, Texas,12401,12855
Carson County, Texas,6182,6032
Cass County, Texas,30464,30012
Castro County, Texas,8062,7843
Chambers County, Texas,35096,41441
Cherokee County, Texas,50845,52240
Childress County, Texas,7041,7067
Clay County, Texas,10752,10421
Cochran County, Texas,3127,2851
Coke County, Texas,3320,3306
Coleman County, Texas,8895,8430
Collin County, Texas,782341,969603
Collingsworth County, Texas,3057,2987
Colorado County, Texas,20874,21232
Comal County, Texas,108472,141009
Comanche County, Texas,13974,13573
Concho County, Texas,4087,2717
Cooke County, Texas,38437,39895
Coryell County, Texas,75388,74913
Cottle County, Texas,1505,1387
Crane County, Texas,4375,4740
Crockett County, Texas,3719,3564
Crosby County, Texas,6059,5899
Culberson County, Texas,2398,2231
Dallam County, Texas,6703,7208
Dallas County, Texas,2368139,2618148
Dawson County, Texas,13833,12813
Deaf Smith County, Texas,19372,18836
Delta County, Texas,5231,5298
Denton County, Texas,662614,836210
DeWitt County, Texas,20097,20226
Dickens County, Texas,2444,2209
Dimmit County, Texas,9996,10418
Donley County, Texas,3677,3311
Duval County, Texas,11782,11273
Eastland County, Texas,18583,18411
Ector County, Texas,137130,157087
Edwards County, Texas,2002,1953
Ellis County, Texas,149610,173620
El Paso County, Texas,800647,840410
Erath County, Texas,37890,41969
Falls County, Texas,17866,17437
Fannin County, Texas,33915,34446
Fayette County, Texas,24554,25272
Fisher County, Texas,3974,3880
Floyd County, Texas,6446,5855
Foard County, Texas,1336,1222
Fort Bend County, Texas,585375,764828
Franklin County, Texas,10605,10767
Freestone County, Texas,19816,19625
Frio County, Texas,17217,19600
Gaines County, Texas,17526,20638
Galveston County, Texas,291309,335036
Garza County, Texas,6461,6528
Gillespie County, Texas,24837,26646
Glasscock County, Texas,1226,1348
Goliad County, Texas,7210,7562
Gonzales County, Texas,19807,20893
Gray County, Texas,22535,22404
Grayson County, Texas,120877,131140
Gregg County, Texas,121730,123367
Grimes County, Texas,26604,28082
Guadalupe County, Texas,131533,159659
Hale County, Texas,36273,34134
Hall County, Texas,3353,3071
Hamilton County, Texas,8517,8422
Hansford County, Texas,5613,5447
Hardeman County, Texas,4139,3994
Hardin County, Texas,54635,57139
Harris County, Texas,4092459,4652980
Harrison County, Texas,65631,66661
Hartley County, Texas,6062,5691
Haskell County, Texas,5899,5746
Hays County, Texas,157107,214485
Hemphill County, Texas,3807,4024
Henderson County, Texas,78532,81064
Hidalgo County, Texas,774769,860661
Hill County, Texas,35089,35852
Hockley County, Texas,22935,23088
Hood County, Texas,51182,58273
Hopkins County, Texas,35161,36496
Houston County, Texas,23732,23021
Howard County, Texas,35012,36040
Hudspeth County, Texas,3476,4408
Hunt County, Texas,86129,93872
Hutchinson County, Texas,22150,21375
Irion County, Texas,1599,1516
Jack County, Texas,9044,8832
Jackson County, Texas,14075,14805
Jasper County, Texas,35710,35561
Jeff Davis County, Texas,2342,2280
Jefferson County, Texas,252273,256299
Jim Hogg County, Texas,5300,5202
Jim Wells County, Texas,40838,40871
Johnson County, Texas,150934,167301
Jones County, Texas,20202,19983
Karnes County, Texas,14824,15187
Kaufman County, Texas,103350,122883
Kendall County, Texas,33410,44026
Kenedy County, Texas,416,417
Kent County, Texas,808,763
Kerr County, Texas,49625,51720
Kimble County, Texas,4607,4410
King County, Texas,286,296
Kinney County, Texas,3598,3745
Kleberg County, Texas,32061,31088
Knox County, Texas,3719,3710
Lamar County, Texas,49793,49587
Lamb County, Texas,13977,13210
Lampasas County, Texas,19677,21027
La Salle County, Texas,6886,7584
Lavaca County, Texas,19263,20062
Lee County, Texas,16612,17183
Leon County, Texas,16801,17243
Liberty County, Texas,75643,83658
Limestone County, Texas,23384,23527
Lipscomb County, Texas,3302,3378
Live Oak County, Texas,11531,12174
Llano County, Texas,19301,21210
Loving County, Texas,82,134
Lubbock County, Texas,278831,305225
Lynn County, Texas,5915,5859
McCulloch County, Texas,8283,7957
McLennan County, Texas,234906,251259
McMullen County, Texas,707,778
Madison County, Texas,13664,14222
Marion County, Texas,10546,10064
Martin County, Texas,4799,5626
Mason County, Texas,4012,4222
Matagorda County, Texas,36702,36840
Maverick County, Texas,54258,58216
Medina County, Texas,46006,50066
Menard County, Texas,2242,2124
Midland County, Texas,136872,165049
Milam County, Texas,24757,25053
Mills County, Texas,4936,4921
Mitchell County, Texas,9403,8468
Montague County, Texas,19719,19539
Montgomery County, Texas,455746,570934
Moore County, Texas,21904,22097
Morris County, Texas,12934,12467
Motley County, Texas,1210,1230
Nacogdoches County, Texas,64524,65580
Navarro County, Texas,47735,48701
Newton County, Texas,14445,13952
Nolan County, Texas,15216,14770
Nueces County, Texas,340223,361221
Ochiltree County, Texas,10223,10073
Oldham County, Texas,2052,2114
Orange County, Texas,81837,85047
Palo Pinto County, Texas,28111,28570
Panola County, Texas,23796,23243
Parker County, Texas,116927,133463
Parmer County, Texas,10269,9842
Pecos County, Texas,15507,15634
Polk County, Texas,45413,49162
Potter County, Texas,121073,120458
Presidio County, Texas,7818,7156
Rains County, Texas,10914,11762
Randall County, Texas,120725,134442
Reagan County, Texas,3367,3710
Real County, Texas,3309,3429
Red River County, Texas,12860,12229
Reeves County, Texas,13783,15281
Refugio County, Texas,7383,7224
Roberts County, Texas,929,938
Robertson County, Texas,16622,17203
Rockwall County, Texas,78337,96788
Runnels County, Texas,10501,10266
Rusk County, Texas,53330,52833
Sabine County, Texas,10834,10461
San Augustine County, Texas,8865,8253
San Jacinto County, Texas,26384,28270
San Patricio County, Texas,64804,67215
San Saba County, Texas,6131,5959
Schleicher County, Texas,3461,3001
Scurry County, Texas,16921,17050
Shackelford County, Texas,3378,3328
Shelby County, Texas,25448,25513
Sherman County, Texas,3034,3067
Smith County, Texas,209714,227727
Somervell County, Texas,8490,8845
Starr County, Texas,60968,64454
Stephens County, Texas,9630,9337
Sterling County, Texas,1143,1295
Stonewall County, Texas,1490,1388
Sutton County, Texas,4128,3767
Swisher County, Texas,7854,7515
Tarrant County, Texas,1809034,2054475
Taylor County, Texas,131506,136290
Terrell County, Texas,984,810
Terry County, Texas,12651,12715
Throckmorton County, Texas,1641,1527
Titus County, Texas,32334,32904
Tom Green County, Texas,110224,118019
Travis County, Texas,1024266,1226698
Trinity County, Texas,14585,14667
Tyler County, Texas,21766,21539
Upshur County, Texas,39309,41281
Upton County, Texas,3355,3663
Uvalde County, Texas,26405,27132
Val Verde County, Texas,48879,49205
Van Zandt County, Texas,52579,55182
Victoria County, Texas,86793,92084
Walker County, Texas,67861,72245
Waller County, Texas,43205,51307
Ward County, Texas,10658,11472
Washington County, Texas,33718,35043
Webb County, Texas,250304,274794
Wharton County, Texas,41280,41968
Wheeler County, Texas,5410,5358
Wichita County, Texas,131500,132000
Wilbarger County, Texas,13535,12764
Willacy County, Texas,22134,21584
Williamson County, Texas,422679,547545
Wilson County, Texas,42918,49304
Winkler County, Texas,7110,7574
Wise County, Texas,59127,66181
Wood County, Texas,41964,44314
Yoakum County, Texas,7879,8568
Young County, Texas,18550,17979
Zapata County, Texas,14018,14322
Zavala County, Texas,11677,11948
Beaver County, Utah,6629,6386
Box Elder County, Utah,49975,54079
Cache County, Utah,112656,124438
Carbon County, Utah,21403,20295
Daggett County, Utah,1059,1029
Davis County, Utah,306479,347637
Duchesne County, Utah,18607,20026
Emery County, Utah,10976,10077
Garfield County, Utah,5172,5078
Grand County, Utah,9225,9674
Iron County, Utah,46163,51001
Juab County, Utah,10246,11250
Kane County, Utah,7125,7567
Millard County, Utah,12503,12863
Morgan County, Utah,9469,11873
Piute County, Utah,1556,1420
Rich County, Utah,2264,2391
Salt Lake County, Utah,1029655,1135649
San Juan County, Utah,14746,15356
Sanpete County, Utah,27822,30035
Sevier County, Utah,20802,21316
Summit County, Utah,36324,41106
Tooele County, Utah,58218,67456
Uintah County, Utah,32588,35150
Utah County, Utah,516564,606425
Wasatch County, Utah,23530,32106
Washington County, Utah,138115,165662
Wayne County, Utah,2778,2719
Weber County, Utah,231236,251769
Addison County, Vermont,36821,36776
Bennington County, Vermont,37125,35594
Caledonia County, Vermont,31227,30164
Chittenden County, Vermont,156545,162372
Essex County, Vermont,6306,6230
Franklin County, Vermont,47746,49025
Grand Isle County, Vermont,6970,6998
Lamoille County, Vermont,24475,25337
Orange County, Vermont,28936,28974
Orleans County, Vermont,27231,26841
Rutland County, Vermont,61642,59087
Washington County, Vermont,59534,58290
Windham County, Vermont,44513,42869
Windsor County, Vermont,56670,55100
Accomack County, Virginia,33164,32545
Albemarle County, Virginia,98970,107702
Alleghany County, Virginia,16250,15122
Amelia County, Virginia,12690,13020
Amherst County, Virginia,32353,31594
Appomattox County, Virginia,14973,15681
Arlington County, Virginia,207627,234965
Augusta County, Virginia,73750,75144
Bath County, Virginia,4731,4297
Bedford County, Virginia,68676,77974
Bland County, Virginia,6824,6350
Botetourt County, Virginia,33148,33192
Brunswick County, Virginia,17434,16244
Buchanan County, Virginia,24098,21514
Buckingham County, Virginia,17146,17065
Campbell County, Virginia,54842,55010
Caroline County, Virginia,28545,30461
Carroll County, Virginia,30042,29708
Charles City County, Virginia,7256,7004
Charlotte County, Virginia,12586,12119
Chesterfield County, Virginia,316236,343599
Clarke County, Virginia,14034,14508
Craig County, Virginia,5190,5062
Culpeper County, Virginia,46689,51282
Cumberland County, Virginia,10052,9811
Dickenson County, Virginia,15903,14782
Dinwiddie County, Virginia,28001,28208
Essex County, Virginia,11151,11028
Fairfax County, Virginia,1081726,1148433
Fauquier County, Virginia,65203,69465
Floyd County, Virginia,15279,15755
Fluvanna County, Virginia,25691,26452
Franklin County, Virginia,56159,56445
Frederick County, Virginia,78305,86484
Giles County, Virginia,17286,16837
Gloucester County, Virginia,36858,37292
Goochland County, Virginia,21717,22685
Grayson County, Virginia,15533,15665
Greene County, Virginia,18403,19612
Greensville County, Virginia,12243,11679
Halifax County, Virginia,36241,34563
Hanover County, Virginia,99863,105923
Henrico County, Virginia,306935,327898
Henry County, Virginia,54151,51227
Highland County, Virginia,2321,2212
Isle of Wight County, Virginia,35270,36552
James City County, Virginia,67009,75524
King and Queen County, Virginia,6945,7003
King George County, Virginia,23584,26337
King William County, Virginia,15935,16708
Lancaster County, Virginia,11391,10788
Lee County, Virginia,25587,23758
Loudoun County, Virginia,312311,398080
Louisa County, Virginia,33153,35860
Lunenburg County, Virginia,12914,12235
Madison County, Virginia,13308,13277
Mathews County, Virginia,8978,8779
Mecklenburg County, Virginia,32727,30686
Middlesex County, Virginia,10959,10679
Montgomery County, Virginia,94392,98559
Nelson County, Virginia,15020,14943
New Kent County, Virginia,18429,21682
Northampton County, Virginia,12389,11846
Northumberland County, Virginia,12330,12275
Nottoway County, Virginia,15853,15434
Orange County, Virginia,33481,36073
Page County, Virginia,24042,23731
Patrick County, Virginia,18490,17665
Pittsylvania County, Virginia,63506,61258
Powhatan County, Virginia,28046,28601
Prince Edward County, Virginia,23368,22703
Prince George County, Virginia,35725,37809
Prince William County, Virginia,402002,463023
Pulaski County, Virginia,34872,34184
Rappahannock County, Virginia,7373,7321
Richmond County, Virginia,9254,8939
Roanoke County, Virginia,92376,93730
Rockbridge County, Virginia,22307,22659
Rockingham County, Virginia,76314,80227
Russell County, Virginia,28897,27048
Scott County, Virginia,23177,21865
Shenandoah County, Virginia,41993,43225
Smyth County, Virginia,32208,30656
Southampton County, Virginia,18570,17750
Spotsylvania County, Virginia,122397,133033
Stafford County, Virginia,128961,146649
Surry County, Virginia,7058,6540
Sussex County, Virginia,12087,11373
Tazewell County, Virginia,45078,41095
Warren County, Virginia,37575,39563
Washington County, Virginia,54876,54387
Westmoreland County, Virginia,17454,17780
Wise County, Virginia,41452,38586
Wythe County, Virginia,29235,28882
York County, Virginia,65464,67739
Alexandria city, Virginia,139966,160035
Bristol city, Virginia,17835,16790
Buena Vista city, Virginia,6650,6327
Charlottesville city, Virginia,43475,48019
Chesapeake city, Virginia,222209,240397
Colonial Heights city, Virginia,17411,17830
Covington city, Virginia,5961,5531
Danville city, Virginia,43055,41130
Emporia city, Virginia,5927,5282
Fairfax city, Virginia,22565,24097
Falls Church city, Virginia,12332,14583
Franklin city, Virginia,8582,8176
Fredericksburg city, Virginia,24286,28360
Galax city, Virginia,7042,6625
Hampton city, Virginia,137436,134669
Harrisonburg city, Virginia,48914,54215
Hopewell city, Virginia,22591,22621
Lexington city, Virginia,7042,7106
Lynchburg city, Virginia,75568,80995
Manassas city, Virginia,37821,41501
Manassas Park city, Virginia,14273,16591
Martinsville city, Virginia,13821,13142
Newport News city, Virginia,180719,179388
Norfolk city, Virginia,242803,244703
Norton city, Virginia,3958,3936
Petersburg city, Virginia,32420,31750
Poquoson city, Virginia,12150,12053
Portsmouth city, Virginia,95535,94572
Radford city, Virginia,16408,17658
Richmond city, Virginia,204214,227032
Roanoke city, Virginia,97032,99837
Salem city, Virginia,24802,25862
Staunton city, Virginia,23746,24528
Suffolk city, Virginia,84585,90237
Virginia Beach city, Virginia,437994,450435
Waynesboro city, Virginia,21006,22327
Williamsburg city, Virginia,14068,15031
Winchester city, Virginia,26203,27932
Adams County, Washington,18728,19506
Asotin County, Washington,21623,22535
Benton County, Washington,175177,198171
Chelan County, Washington,72453,76533
Clallam County, Washington,71404,75474
Clark County, Washington,425363,474643
Columbia County, Washington,4078,4047
Cowlitz County, Washington,102410,106910
Douglas County, Washington,38431,41945
Ferry County, Washington,7551,7594
Franklin County, Washington,78163,92125
Garfield County, Washington,2266,2210
Grant County, Washington,89120,95158
Grays Harbor County, Washington,72797,72697
Island County, Washington,78506,83159
Jefferson County, Washington,29872,31234
King County, Washington,1931249,2188649
Kitsap County, Washington,251133,266414
Kittitas County, Washington,40915,46205
Klickitat County, Washington,20318,21811
Lewis County, Washington,75455,78200
Lincoln County, Washington,10570,10579
Mason County, Washington,60699,63710
Okanogan County, Washington,41120,41742
Pacific County, Washington,20920,21626
Pend Oreille County, Washington,13001,13354
Pierce County, Washington,795225,876764
San Juan County, Washington,15769,16715
Skagit County, Washington,116901,125619
Skamania County, Washington,11066,11837
Snohomish County, Washington,713335,801633
Spokane County, Washington,471221,506152
Stevens County, Washington,43531,44730
Thurston County, Washington,252264,280588
Wahkiakum County, Washington,3978,4264
Walla Walla County, Washington,58781,60567
Whatcom County, Washington,201140,221404
Whitman County, Washington,44776,49046
Yakima County, Washington,243231,250193
Barbour County, West Virginia,16589,16497
Berkeley County, West Virginia,104169,114920
Boone County, West Virginia,24629,22349
Braxton County, West Virginia,14523,14237
Brooke County, West Virginia,24069,22443
Cabell County, West Virginia,96319,94958
Calhoun County, West Virginia,7627,7307
Clay County, West Virginia,9386,8764
Doddridge County, West Virginia,8202,8560
Fayette County, West Virginia,46039,43521
Gilmer County, West Virginia,8693,8005
Grant County, West Virginia,11937,11670
Greenbrier County, West Virginia,35480,35287
Hampshire County, West Virginia,23964,23471
Hancock County, West Virginia,30676,29448
Hardy County, West Virginia,14025,13717
Harrison County, West Virginia,69099,67811
Jackson County, West Virginia,29211,28976
Jefferson County, West Virginia,53498,56338
Kanawha County, West Virginia,193063,183293
Lewis County, West Virginia,16372,16226
Lincoln County, West Virginia,21720,20825
Logan County, West Virginia,36743,32925
McDowell County, West Virginia,22113,18456
Marion County, West Virginia,56418,56337
Marshall County, West Virginia,33107,31190
Mason County, West virginia,27324,26801
Mercer County, West Virginia,62264,59753
Mineral County, West Virginia,28212,27222
Mingo County, West Virginia,26839,24127
Monongalia County, West Virginia,96189,105030
Monroe County, West Virginia,13502,13402
Morgan County, West Virginia,17541,17686
Nicholas County, West Virginia,26233,25043
Ohio County, West Virginia,44443,42035
Pendleton County, West Virginia,7695,6996
Pleasants County, West Virginia,7605,7512
Pocahontas County, West Virginia,8719,8456
Preston County, West Virginia,33520,33679
Putnam County, West Virginia,55486,56792
Raleigh County, West Virginia,78859,75022
Randolph County, West Virginia,29405,28785
Ritchie County, West Virginia,10449,9774
Roane County, West Virginia,14926,14043
Summers County, West Virginia,13927,12993
Taylor County, West Virginia,16895,16930
Tucker County, West Virginia,7141,6915
Tyler County, West Virginia,9208,8795
Upshur County, West Virginia,24254,24465
Wayne County, West Virginia,42481,40153
Webster County, West Virginia,9154,8372
Wetzel County, West Virginia,16583,15437
Wirt County, West Virginia,5717,5794
Wood County, West Virginia,86956,85104
Wyoming County, West Virginia,23796,21210
Adams County, Wisconsin,20875,19973
Ashland County, Wisconsin,16157,15500
Barron County, Wisconsin,45870,45251
Bayfield County, Wisconsin,15014,15008
Brown County, Wisconsin,248007,262052
Buffalo County, Wisconsin,13587,13167
Burnett County, Wisconsin,15457,15352
Calumet County, Wisconsin,48971,50067
Chippewa County, Wisconsin,62415,63813
Clark County, Wisconsin,34690,34679
Columbia County, Wisconsin,56833,57248
Crawford County, Wisconsin,16644,16214
Dane County, Wisconsin,488073,536416
Dodge County, Wisconsin,88759,87786
Door County, Wisconsin,27785,27483
Douglas County, Wisconsin,44159,43284
Dunn County, Wisconsin,43857,44693
Eau Claire County, Wisconsin,98736,103671
Florence County, Wisconsin,4423,4371
Fond du Lac County, Wisconsin,101633,102548
Forest County, Wisconsin,9304,8970
Grant County, Wisconsin,51208,51999
Green County, Wisconsin,36842,36851
Green Lake County, Wisconsin,19051,18760
Iowa County, Wisconsin,23687,23715
Iron County, Wisconsin,5916,5671
Jackson County, Wisconsin,20449,20529
Jefferson County, Wisconsin,83686,84832
Juneau County, Wisconsin,26664,26576
Kenosha County, Wisconsin,166426,168521
Kewaunee County, Wisconsin,20574,20445
La Crosse County, Wisconsin,114638,118274
Lafayette County, Wisconsin,16836,16741
Langlade County, Wisconsin,19977,19160
Lincoln County, Wisconsin,28743,27838
Manitowoc County, Wisconsin,81442,79175
Marathon County, Wisconsin,134063,135732
Marinette County, Wisconsin,41749,40310
Marquette County, Wisconsin,15404,15308
Menominee County, Wisconsin,4232,4615
Milwaukee County, Wisconsin,947735,952085
Monroe County, Wisconsin,44673,45625
Oconto County, Wisconsin,37660,37553
Oneida County, Wisconsin,35998,35254
Outagamie County, Wisconsin,176695,186059
Ozaukee County, Wisconsin,86395,88429
Pepin County, Wisconsin,7469,7254
Pierce County, Wisconsin,41019,41901
Polk County, Wisconsin,44205,43450
Portage County, Wisconsin,70019,70474
Price County, Wisconsin,14159,13442
Racine County, Wisconsin,195408,196071
Richland County, Wisconsin,18021,17516
Rock County, Wisconsin,160331,162309
Rusk County, Wisconsin,14755,14151
St. Croix County, Wisconsin,84345,88703
Sauk County, Wisconsin,61976,63981
Sawyer County, Wisconsin,16557,16418
Shawano County, Wisconsin,41949,40935
Sheboygan County, Wisconsin,115507,115344
Taylor County, Wisconsin,20689,20321
Trempealeau County, Wisconsin,28816,29472
Vernon County, Wisconsin,29773,30759
Vilas County, Wisconsin,21430,21683
Walworth County, Wisconsin,102228,103082
Washburn County, Wisconsin,15911,15758
Washington County, Wisconsin,131887,135101
Waukesha County, Wisconsin,389891,400621
Waupaca County, Wisconsin,52410,51225
Waushara County, Wisconsin,24496,24369
Winnebago County, Wisconsin,166994,170414
Wood County, Wisconsin,74749,73126
Albany County, Wyoming,36299,38332
Big Horn County, Wyoming,11668,11906
Campbell County, Wyoming,46133,46242
Carbon County, Wyoming,15885,15303
Converse County, Wyoming,13833,13809
Crook County, Wyoming,7083,7410
Fremont County, Wyoming,40123,39803
Goshen County, Wyoming,13249,13378
Hot Springs County, Wyoming,4812,4696
Johnson County, Wyoming,8569,8476
Laramie County, Wyoming,91738,98327
Lincoln County, Wyoming,18106,19265
Natrona County, Wyoming,75450,79547
Niobrara County, Wyoming,2484,2397
Park County, Wyoming,28205,29568
Platte County, Wyoming,8667,8562
Sheridan County, Wyoming,29116,30210
Sublette County, Wyoming,10247,9799
Sweetwater County, Wyoming,43806,43534
Teton County, Wyoming,21294,23265
Uinta County, Wyoming,21118,20495
Washakie County, Wyoming,8533,8064
Weston County, Wyoming,7208,6927
