Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Saudi Arabia,AS,290.8,301.8,311.7,347.1,389.3,405.2,406.3,400.9,430.7,446.5,515.5,597.9,616.4,581.8,629.1,662,657
Senegal,AF,4.4,4.4,4.5,4.5,5.3,5.7,5.9,6,6.1,5.8,6.4,7,6.5,6.9,7.5,7.9,8.5
Seychelles,AF,0.6,0.6,0.9,0.9,0.9,0.9,1.2,1,1,1.2,1.1,0.9,1,0.9,1.1,1.1,1.2
Sierra Leone,AF,0.9,0.9,1,1,1.2,1.2,1.1,1.2,1.3,1.4,0.7,0.8,0.9,1.1,1.2,1,1
Singapore,AS,107.9,112.3,110.3,112.5,126,134,140,148.9,156,192.8,191.5,219.1,218.8,232.5,233.4,240.9,249.2
Slovakia,EU,38.8,42.2,41.6,42,40.3,40.6,42.8,39.2,39.2,36,38.3,37.9,35,34.9,32.4,33.4,33.2
Slovenia,EU,15.1,15.5,15.8,15.9,16,16.3,16.3,16.3,16.7,15.6,15.7,15.5,15.2,14.1,12.6,12.8,13.7
Solomon Islands,OC,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Somalia,AF,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9
South Africa,AF,418.6,416.1,431.5,456.4,479.4,473.7,484.4,498.3,528.8,491.1,503.7,497.8,507.2,511.4,507.5,502.7,508.7
Spain,EU,330.8,334.3,353,358.3,381.6,393.9,386.4,396.2,360.8,327.1,314.3,315,306.5,273.7,272,286.7,279.8
Sri Lanka,AS,11,11,11,11.2,12.2,13.2,13.2,13.2,12.2,13.2,13.2,16.4,18.1,16,19.5,21.7,24.3
Sudan,AF,6.5,7.5,8.7,9.8,11,11,12,12,12,18,16,15.6,14.1,14.9,14.9,15.4,16
Suriname,SA,1.6,1.7,1.8,1.8,1.9,2,2,2,2,2.1,2.7,2.1,2.5,2.3,2.4,2.3,2.1
Swaziland,AF,0.9,0.9,0.9,0.8,0.8,0.8,0.9,1,0.9,1,1,1,1,1,1,1.1,1.1
Sweden,EU,60.7,61.9,58.3,61.2,61.5,58.6,59.4,57.8,56.4,51.8,57.3,52.9,49.1,48.4,48.6,48.2,51.4
Switzerland,EU,45.1,45.4,44.2,45.6,45.7,46,45.8,43.7,45.1,43.8,45.5,38.6,40.6,41.5,37.1,38,39
Syria,AS,50.7,49.6,52.8,53,52.4,51.5,51.7,53.1,55.1,61.8,65.2,60.6,45.5,34,31.3,30,27.5
Taiwan,AS,237.5,229,253.9,271.4,257.6,267.1,274.3,270.2,264.6,242,271.3,292.6,284.2,311.5,320.5,321,326
Tajikistan,AS,5.9,6.2,6,6.7,7.1,7.5,7.5,7.3,7,2.5,2.6,2.6,3.3,3.8,5.1,5,5.9
