addr_pct_cd,boro_nm,cmplnt_fr_dt,cmplnt_fr_tm,cmplnt_num,cmplnt_to_dt,cmplnt_to_tm,crm_atpt_cptd_cd,juris_desc,latitude,law_cat_cd,loc_of_occur_desc,longitude,ofns_desc,patrol_boro,pd_cd,pd_desc,prem_typ_desc,rpt_dt,vic_age_group,vic_race,vic_sex,x_coord_cd,y_coord_cd,susp_age_group,susp_race,susp_sex
105,QUEENS,2018-02-28,15:01:00,727390384,,,COMPLETED,N.Y. POLICE DEPT,40.659786357,MISDEMEANOR,INSIDE,-73.75294944,OFF. AGNST PUB ORD SENSBLTY &,PATROL BORO QUEENS SOUTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,2018-02-28T00:00:00.000,45-64,BLACK,F,1052794.0,179748.0,UNKNOWN,BLACK,M
1,MANHATTAN,2018-02-28,16:45:00,284742968,2018-02-28T00:00:00.000,16:47:00,COMPLETED,N.Y. POLICE DEPT,40.723754846999995,FELONY,,-74.006116563,MISCELLANEOUS PENAL LAW,PATROL BORO MAN SOUTH,117.0,RECKLESS ENDANGERMENT 1,STREET,2018-02-28T00:00:00.000,45-64,ASIAN/PAC.ISL,M,982555.0,202957.0,UNKNOWN,UNKNOWN,U
62,BROOKLYN,2018-02-28,08:00:00,652991489,2018-02-28T00:00:00.000,21:04:00,COMPLETED,N.Y. POLICE DEPT,40.598161728,VIOLATION,INSIDE,-73.973073519,HARRASSMENT 2,PATROL BORO BKLYN SOUTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",RESIDENCE - APT. HOUSE,2018-02-28T00:00:00.000,25-44,WHITE HISPANIC,F,991728.0,157201.0,<18,WHITE HISPANIC,F
73,BROOKLYN,2018-02-28,21:00:00,270886076,2018-03-01T00:00:00.000,00:00:00,COMPLETED,N.Y. POLICE DEPT,40.665221978000005,MISDEMEANOR,INSIDE,-73.919323894,PETIT LARCENY,PATROL BORO BKLYN NORTH,338.0,"LARCENY,PETIT FROM BUILDING,UN",RESIDENCE - APT. HOUSE,2018-03-01T00:00:00.000,18-24,BLACK,M,1006632.0,181642.0,,,
101,QUEENS,2018-02-28,02:34:00,777135588,2018-02-28T00:00:00.000,02:44:00,COMPLETED,N.Y. POLICE DEPT,40.602303085,MISDEMEANOR,,-73.758621544,DANGEROUS DRUGS,PATROL BORO QUEENS SOUTH,511.0,"CONTROLLED SUBSTANCE, POSSESSI",STREET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1051278.0,158801.0,18-24,WHITE HISPANIC,M
105,QUEENS,2018-02-28,18:50:00,967570789,,,COMPLETED,N.Y. POLICE DEPT,40.675539528,VIOLATION,FRONT OF,-73.75205829800001,HARRASSMENT 2,PATROL BORO QUEENS SOUTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE-HOUSE,2018-02-28T00:00:00.000,45-64,BLACK,M,1053025.0,185488.0,25-44,BLACK,M
14,MANHATTAN,2018-02-28,16:40:00,673060043,2018-02-28T00:00:00.000,16:55:00,COMPLETED,N.Y. TRANSIT POLICE,40.753532701,MISDEMEANOR,,-73.994536892,ADMINISTRATIVE CODE,PATROL BORO MAN SOUTH,878.0,"ADM.CODE,UNCLASSIFIED MISDEMEA",TRANSIT - NYC SUBWAY,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,985764.0,213806.0,25-44,WHITE HISPANIC,F
28,MANHATTAN,2018-02-28,18:20:00,723972327,2018-02-28T00:00:00.000,18:30:00,COMPLETED,N.Y. POLICE DEPT,40.806046998,VIOLATION,INSIDE,-73.954187936,HARRASSMENT 2,PATROL BORO MAN NORTH,637.0,"HARASSMENT,SUBD 1,CIVILIAN",GROCERY/BODEGA,2018-02-28T00:00:00.000,65+,BLACK,M,996933.0,232942.0,UNKNOWN,UNKNOWN,U
110,QUEENS,2018-02-28,17:00:00,887178959,2018-02-28T00:00:00.000,17:07:00,COMPLETED,N.Y. POLICE DEPT,40.747500165,MISDEMEANOR,,-73.853604926,DANGEROUS DRUGS,PATROL BORO QUEENS NORTH,567.0,"MARIJUANA, POSSESSION 4 & 5",STREET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1024814.0,211642.0,18-24,WHITE HISPANIC,M
121,STATEN ISLAND,2018-02-28,06:45:00,865215643,2018-02-28T00:00:00.000,06:57:00,COMPLETED,N.Y. POLICE DEPT,40.623226819,FELONY,INSIDE,-74.149226973,CRIMINAL MISCHIEF & RELATED OF,PATROL BORO STATEN ISLAND,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",DEPARTMENT STORE,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,D,942825.0,166367.0,25-44,WHITE,M
9,MANHATTAN,2018-02-28,07:30:00,780879917,,,COMPLETED,N.Y. POLICE DEPT,40.726878458,MISDEMEANOR,FRONT OF,-73.995556505,PETIT LARCENY,PATROL BORO MAN SOUTH,343.0,"LARCENY,PETIT OF BICYCLE",COMMERCIAL BUILDING,2018-03-01T00:00:00.000,25-44,WHITE,M,985482.0,204095.0,,,
76,BROOKLYN,2018-02-28,08:00:00,271972122,2018-03-05T00:00:00.000,08:09:00,COMPLETED,N.Y. POLICE DEPT,40.677834725,FELONY,INSIDE,-73.99113973,GRAND LARCENY,PATROL BORO BKLYN SOUTH,402.0,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",RESIDENCE - APT. HOUSE,2018-03-05T00:00:00.000,25-44,ASIAN/PAC.ISL,M,986708.0,186227.0,UNKNOWN,UNKNOWN,U
75,BROOKLYN,2018-02-28,14:00:00,797062460,,,COMPLETED,N.Y. POLICE DEPT,40.662630781,MISDEMEANOR,INSIDE,-73.878564475,OFF. AGNST PUB ORD SENSBLTY &,PATROL BORO BKLYN NORTH,639.0,AGGRAVATED HARASSMENT 2,RESIDENCE-HOUSE,2018-03-10T00:00:00.000,25-44,BLACK,F,1017941.0,180711.0,25-44,BLACK,M
75,BROOKLYN,2018-02-28,19:20:00,700214984,2018-02-28T00:00:00.000,19:30:00,COMPLETED,N.Y. POLICE DEPT,40.665725094,FELONY,,-73.887595581,ROBBERY,PATROL BORO BKLYN NORTH,386.0,"ROBBERY,PERSONAL ELECTRONIC DEVICE",STREET,2018-02-28T00:00:00.000,45-64,UNKNOWN,F,1015434.0,181835.0,UNKNOWN,UNKNOWN,M
44,BRONX,2018-02-28,09:25:00,134513508,2018-02-28T00:00:00.000,09:30:00,ATTEMPTED,N.Y. POLICE DEPT,40.837500239,FELONY,FRONT OF,-73.925515221,MISCELLANEOUS PENAL LAW,PATROL BORO BRONX,760.0,"BRIBERY,PUBLIC ADMINISTRATION",STREET,2018-02-28T00:00:00.000,UNKNOWN,UNKNOWN,E,1004861.0,244407.0,25-44,WHITE HISPANIC,M
73,BROOKLYN,2018-02-28,08:21:00,303839366,2018-02-28T00:00:00.000,08:26:00,COMPLETED,N.Y. TRANSIT POLICE,40.679524703,MISDEMEANOR,,-73.904571538,PETIT LARCENY,PATROL BORO BKLYN NORTH,339.0,"LARCENY,PETIT FROM OPEN AREAS,",TRANSIT - NYC SUBWAY,2018-04-30T00:00:00.000,UNKNOWN,UNKNOWN,D,1010719.0,186857.0,UNKNOWN,UNKNOWN,U
25,MANHATTAN,2018-02-28,00:05:00,282143832,2018-02-28T00:00:00.000,00:40:00,COMPLETED,N.Y. HOUSING POLICE,40.799271861,VIOLATION,FRONT OF,-73.930033055,HARRASSMENT 2,PATROL BORO MAN NORTH,638.0,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,2018-02-28T00:00:00.000,65+,WHITE HISPANIC,M,1003622.0,230478.0,UNKNOWN,UNKNOWN,U
